Hash,Ratio_Malicious/TotalAV
410093d49f7661afc6bfb90b894abcb0,30/66
0063087a5f46230858070cdfacea96ea,21/66
ebf792bad4846c8d709aba39ae6010de,30/67
0ea185ef053a11c2f2549ad4b92648a2,29/63
d87c76648075d181eb433b8f09bc185d,30/66
2fd44e6b559b8b490acc0e0468ea9a05,13/60
a161eba20b1f90659f57ecee85fd5cc6,32/67
6c1d137f82fa6eda9857aa23ff8999cc,27/58
3805b7ee91a8fe0e7bc8b0e5240ccf0d,11/61
75f91fb18789adee09dd65d96e76ba7c,27/66
848d4785c13ce73cfc179aab27c4140a,17/44
e0bd131bbd2c568384cdef56953096bc,28/67
d58a2e06fba693432d3788a8d4a43f17,29/65
b10b351c6f55b212515b9719c733b4db,32/66
596187684a0f779da4f9e42eb8492219,27/64
71e316d98d3f9fb9bfb71a7999ff8df4,28/67
ff76d362dd640baf20983f2fb3ad3b4e,27/66
9457b6cc2ed714298af1fbfabc20bdea,32/60
48b90d3a7b7f3f5b34e8791939a1086a,30/67
716e01f7735f09ef8b45677e645c0fb3,37/65
3432fc811b1d0933aa7536bcfab8acb1,29/66
96413f90d66795ca178446900418ca4f,31/66
06fc2af473e5e7fc45f46b97498f40a5,29/67
7b97a448b1b31ae94552b4489c709953,32/64
b40963ded0ce02ae4ffe2226c957c2c3,26/66
be1792d47ac282c0c16127fdd8615430,21/65
89a01a2fc89907248846fa07cfbaf15f,21/67
21a4fc40856418304b4ec526f5d9d04f,35/65
0a89799447f3ee7e4e872b4861d5f794,28/65
864048f5d2e237e7a22d5469f5db694a,29/67
1d2eafac43ea902c9386c6a22c7b04e8,32/66
7f0fc13774f1857080f5342202e8bb29,33/67
a4b21de011d19c928b714c19a00cab54,14/66
d9575c9cf8fab681846282a00824f840,23/63
26343f4c425a82d6c7e957a4faaa77a9,27/67
40282c438f7fec2f1e804d9a8a1f8552,32/67
9f444675c34f8aec3c59ff3fe5f1ead5,29/66
157a81a31832a224daefadb235deab7e,32/67
293276f3eeb65a3ca26de4c613535dd0,28/64
dbd1cd1a10a9300b52def17c0bd4a665,29/65
b352e211f4b69acd54f0f1f8eba27583,29/67
1dc8234883e64e73c9434a1ab9b47bd7,31/66
bbc83d6c1d19e66713194136eaa23b7e,29/67
e427f7f619862cbcf7188a2df525758f,29/66
3259c4909d7d1d0d865512e6cfad280d,28/67
6d7e8adfd39a36c3d9732f111e3914c3,33/66
420b89ed3ae3f894b7e8eac38a2b4d2c,30/66
8cb10aae63ada4aa899fa02e8402cc30,34/66
197da958905c8a4a8022ebc2ba8d6a76,37/67
1db27bce5567a7503969ce8b1d2e7668,12/63
66ebedda1a5ee6babe1df80f65a1aa9f,31/67
9ae532b9e8e22b80c434cc50b1a8968f,11/66
af76ebd104511a47407cbc12dad6a40a,25/66
ec611051c80be0b1e119f7f1e1e4b231,32/66
8c15db36e9a0da3c6cddc4879892b882,33/67
059bdb1e0f96d648213ca15ded703d72,30/67
9ed7cb2fef04f15619fa77ab985acb8e,31/66
fc69d8e412e3f640b741e0e5abba0c5a,29/67
f501472411285f87cd0d431fe28948ac,32/66
d842a9def809a6b4d4fd5088d9af3faa,31/65
440d0b0ff2c06319a0374ca8a3356354,31/63
620ac4d5701af984e3b6feeb2628ee76,32/66
6a507a6b2fc0c5f83e49bbe15d7757a9,42/67
0b3695d6b491b51ee008b20102071e08,27/67
ff925a990d667562d0e248feb15d33a1,31/67
08a34410379c10c70e32840039482aea,30/66
b0fbefb0337e0034561ed5f71ac33fa1,32/66
db1636170b5d13b765e880884af67b07,29/66
008f63c4726850410ed9d2a261c89290,33/67
50c0b334657614e38dea5aeed577e0b8,31/67
7f328cdc6ba2a9ee9ea660b90656a8e9,28/66
d756db3486272510b4c07581d81f5357,29/66
5403d532eaf5d1379be96f46b6815069,34/66
498ee647d64e2820f19a10526d88bdd0,25/66
ce8bd517f37a81615d95f400cb5cc09a,31/67
795c1b0c55e36e7c6bb39361ce99cb5a,28/67
a7a3580e62bd46c632f3b534d1a86457,31/66
1fa75b739e9f9d514d4524f1bd49937c,30/67
153a405ce31093cce3afca8002150d50,25/57
f714f9b90e0a68fc831b958b1ffdf048,29/66
1087966abf11acb94743683118516e06,32/66
c35d7f1bcbad0201027c78e88ac96e4a,31/66
671f8ed8e23af0d689512eb6e699d1e8,29/63
70680dea950e7d067d5d57f2dfbab57d,32/65
b8df8865a2d7a428598c45d08021d2e5,34/66
005f1b779405539e00d8c362265cce1d,15/58
c5721683f94a6c0f23f085636ce51bdd,29/66
2f095be8a30ccaa8da01826de65428f2,26/66
53193966c265fa758e6d6db538b15743,14/67
b2833f8aeb970d47fb5c639d26c22764,32/66
100135fe2c004d94183500a8fb618126,43/67
ffd8269a97e54f3f5d4ec2b40a417197,37/65
ddb54d06a36738c74dcbde00a24048fe,31/66
3dd20253f5cbd8e4b96cf3dc4093db36,24/66
561174f9f6dba98cf43a63d4649c8bdd,28/63
2d48c4101a4e2c1d053491446e56ed55,24/66
69f1b23c21a9e93c3ebf9443ccebe4ac,6/67
1db337c70a778132c29f8bfdb2309360,27/67
e91ddb899f40794183de4adc72f580e9,22/66
2b6db4469330dbe0eb05d6ab95715a87,26/57
4890513dd00bdb04fa652a59ef9b28dd,28/66
28b7abaa34dc3010620fac6e627488fe,29/67
3038c9e763d83b6aa94b0ee59b2147c7,34/67
3810501afdf0578bbb78227b1bf18db0,25/55
a7e284764dbdf2d750328f5e0bfad447,30/67
785d0c802ceb921a9f5fc3b9fd9f4d9d,43/67
06e89cc82eccbddf7015e0f1a4ed975e,25/66
4f9f2da36a167da23fdf5fadfd80112d,15/56
ecdc3ab66c513cfcbbd594c30a187346,29/66
14e9ce1338adeb081a148b3ffe1c5f35,25/63
e018d8fae637e68e954e96a3c3417575,31/66
c357ea0fe01e2e46cdd9fd430ef35a25,29/67
724bcb79804c7b94fa89d817716adb52,26/66
791b2b16fb6559126de39fd388269429,31/66
9886b6cbab0c1ea9c4ac398c6a3af7ad,26/64
b3e011ac3806953b20b234166b5dce3a,30/66
59422008f27cce62a8ac1fe5c57505f4,27/66
804c41b639a5ed32f8930de464475997,34/66
a790c41f8d55445c71d4242747ef4265,25/63
db5b73f2dd0696119034eade3ad4b1a6,26/65
fb5f4d26347cf39b7990f7be70f73a02,32/66
5322c964e4666be65e8fa2941b38aaa5,33/67
48c020a0a6610a1611d3985ba999de52,31/66
f9f1cd90a9bff6dfc09b72dd1178a6be,29/67
dcbfca2257273d59a095c51360a6a428,30/67
482a0218172574df98761e5f5d942c27,32/66
e6d4f7808e6c2fab4279dea683afe51b,23/62
7ef107a71df95a99c4ddab4f71e4cef1,42/67
751c4251a0face3412d8bb01fd6bf53e,33/67
d38b2fbfe5aff0d625dcb2655fc15029,31/67
f1116e66df811b47c067f01f176c69f3,13/66
860581e3a5f92bb67f038245bac76761,28/67
fcef435e083cdd556b87881c4c9dc098,26/65
8a649eebd0ece00c83a4a52f16cb41f7,30/67
3567cbf89500992339cd0afe4a5bfefc,30/67
840e5bd0b9a0cb4678f7b7ac84dd1554,26/65
d056d3b4cb47d8ee2009a413a166f91b,29/65
36780a9c11106931b8bca144b235b56a,28/66
1a5cd92647a82fac2a06c1744887aacc,23/56
d0e7b10ce5c842b998cceb45e34d60a9,39/67
50dadb29fb20325db1a3e40967323e30,30/67
476bbbc2edc6d1ed11ebc61979465d50,30/67
b98486cbcdbf4d430eae995331e0ee58,30/66
f3f6872ce9ca4b066aa71bf5abeccaee,25/59
af4047ad5d654c8810e5f496b82f6cce,29/65
1b878dc9676c4d2ede70e25b46987289,31/66
52719e54c4f398f94f4c856529e325bf,31/67
97d40c226b2fe646c3520953114f3180,29/65
ad60e082134a549d9f5e503c73bf11aa,31/66
298a0a49a0ef8ac424d26dd46e8dc278,33/67
f1888fbe2a4df66eb96c70d13cbc7a41,16/66
9e98b47a73045fe26f2258717f4403d5,31/66
af93c73cd98112a79e7d2e906eba79dc,33/66
168becf718c57c55318f99db7685dbac,32/67
37917e471acd6b0edb9ccc0859ed322a,10/60
7a4ffce84f28b495f843820b6ed94fd9,30/62
a0a8df29995f929b732c0391e9a82244,31/67
b313c352b9a17f98528a060813feeb20,32/66
e318ca2c4c8d338add362d4890c808c5,29/66
c5f77b4097e5eef013c1c1e5b793038b,9/67
3a1300f9cb94e39f2e588f6048b3e371,30/67
ff1a04252e3cab2cc5cfad06f4413bac,31/66
cbe49051073b7cadccb54d2dedd8a11c,24/56
94ba6687e398d75f3b16db040651fff4,32/66
c3c590c3cbb27590987252c98e564fc2,29/66
3339149122ecdebf1eca45910ab5a297,30/67
f7d68de70607cd4ceb34da342bf2873a,25/60
c2f601b9d65ab42be86eadf5d936195d,28/66
fb3c2e37fda433fee4c2d7975d79f1a8,40/66
f7141323b4eed7e0d2d0f38bf09da751,20/60
16da2ef5d4d12688a1e7f7d66620ddea,23/66
9682e4ef6fe96c6fd96fb758b5511e3f,28/66
eb80dd24447228fd10ab336d77893982,18/51
ec13cc53fe965fa6a5938de98e89734c,28/66
5436850f3d8fbbadb6e80cfe71d438d4,29/66
acd83b29b22ba19b89d718faebb44e0d,22/67
1dda28648c2bf48f64b878688859d364,31/66
ab02a0c12b68904123d1b503274028cb,23/65
f8c753274a6aa251108383dfccac2c23,31/66
c24301311554104d87016d0c1bfdff05,19/64
7d1272adc0e082accd63ecb7d3c2b10e,30/66
f4d108574f25cecfc4b030301af1a430,26/62
477f2485667db6e542af238a8164b9f6,42/65
2deee3f4f5d3c88ad25f6fee3f8cb9f0,30/67
8766ccb3fac17a2d6df5bb5ccb8e8364,29/67
f46f73ed07cdf65f0ad7f2cbbceceb8e,29/67
b63081d495bd5e6c6e9bb04526f8a292,22/66
e381702a08b1e69b803941f0f3117e47,30/66
71e90ffbd7becaeb2d979fe023955aad,29/65
663f157073eaa4ef708126f34b7b0059,30/66
2b208e860db739c3fc4e15d67e8a274e,29/66
ef9969afbe1a7d325227dd06b3258d30,33/66
018484569635ef6d74238705f90e7692,28/65
3075dbd75479525724437a53295d8d76,36/66
28329c5b98bbdb295b282c764f6fd6e9,19/66
ea1cf350937b4b3e05d54580afb35806,32/66
93c72b121b062074417582ecbefb1215,10/67
a6881d6a746669ba3670d44bf122eb7c,28/67
46e12d2ad8b0d3226d9059ea966ccfee,28/66
93e8fa9d3d2c6e84e5e60d07b9fc70df,33/66
de4f217bf553f2582cfc7ca0e8db032e,29/64
54b955ab53ab2890794623013256e71d,8/67
fa2680afd0a7d20dd5c625a105eadfe4,29/66
258d349c737e971d72c5dab7ec9fe24f,24/66
7aa75c1ab9fe3299244613e804f4a279,27/66
448cbd97dff330950be4a79aaeeefd11,28/67
e58acf3f27d7d9b7f322e079b61c154e,30/67
1c54651772b43ee64d8755b8ac79d29e,28/65
c8c5ae1ffd167be23fb3b46696a25885,9/67
c8819b97fbbe1736753bc52c912000bd,33/66
bfa50567f9e55a568dea11dda2a05eb7,30/66
aa520a9685f6b9e3a9d115a6fc9457c1,31/67
c9375fe0aa4c3b4dd6d6165bd64f937a,32/66
5a44a612c0acc8024acee9bb8079be6d,32/67
5d5cfdb8e8b4e67686bbd3bda5efb997,28/61
1a5c4c96d2091c51e36827fc2ba86a80,33/66
586317e15b87b04ad22d39ff2b82315d,28/67
4e15efd91a3b57da980772ba90f6368d,27/65
3e0503d5dddaae229ef481beda769c92,31/66
76c06192e220329a621f35632fab420c,29/62
018edfcb069f8dfd338d3420314ed0e2,40/67
6e5df1a4e4f165c0c496f5758b0bcd63,45/67
90d7c1134126353c9b35c2a230b079ba,22/58
c4bca53fb354755dd9d12770f511dd21,28/67
24504e91dff9c68fd4b9c84ff0efa917,31/64
627ea556b1737c12f32852ab74a48ee6,29/64
39bf0902910074cf053fa55a30c6cee9,29/67
6233be1e02404368beabb8e3cdaa7738,29/67
40c80ca93fee957abbf7cfb0855928e4,30/67
02edae229519ae7a849478053065b52a,29/65
c8e2f582502b0b34926cc9abbb94fa1c,30/67
e065416591904b95d61887ee333833f1,9/40
9f7539568800b6bcb3d704594c28fede,30/67
7abd804c727020fc6f18489852a36d7b,26/61
cd504a5fe7664b9473e0ddf55237a7f7,22/67
c28b8ca2b2a12559de63e36087f40271,31/67
67a3427f84fdd2e1e8143bb312e976bb,35/67
1bf06bfd838739ab1b29d5e99a70c38a,25/66
8f9a82ddfc823ee1e494e6cef32849aa,31/66
1f7a4f621301cf696f79f1e646613700,30/66
557a71514184b0b3ed9d65b2123345aa,21/65
0caadb96a1a535a143782f15c7cac42e,32/66
0eb883371dca0fa35f551b7f12b2b8ec,31/66
ea81bdd79b422bddc30da86ab83a5911,11/66
3653d2299c5f957716c6e2927a6b2301,33/66
b2672e037d2e4820896967612c5b8b49,30/67
73ff42285b854cc556c4f02c1c411107,22/65
bd375f3f0679e6d0c4133614bcb79de4,31/66
72b7d55542ff33e0199be7d6699e24f1,29/66
74151356ede042db0d2acdcbfccfc488,30/66
c311582f83a86b3dcedd8298ead3cf1a,31/67
e986c2ec64de1022844b8fb4795599be,31/66
4af356258fe21b0e83a0080b91c9f874,31/67
654da4126b2d29ccf1dc6d1a1521b091,40/66
3e0fdb241549fdd0864bb2b70faf83cb,31/66
2cf86aeee85ba826c11cc0eff4af6f87,29/67
adef42d160a6ba724373e231ca0ea791,28/65
387eed5af5579f140741b55d9497d629,30/66
df0b719979fd2cd3b5cbc0ff32544b85,33/67
a624d491c746f4257872df5b738fb16c,32/67
528fba72399b6cf2c8da6df16e532608,30/67
ac15c77814bda41f37ca875cf0920dda,14/59
a11940a2e32c6edc3e787a7e81c863f7,31/67
29a1ccca09e2433f9449917da2b9ce3b,32/66
dc0a2a63e82bda3441fecbd1f82b912b,6/59
15757920a495461d30719b8331d4f023,45/67
8b87e472aae8a89f908bc7f0791a835a,28/65
e1a5a985cd69be0f3ac3bc78219c76a1,30/63
27496fcc6999688c83947acb30f6d468,8/66
017f5c38b369d581e4cd8294b7377df1,24/66
61ec183e64d35c022f8b9c4a12740fab,31/66
f52a50ea930b7ee56f3cd8aa3d02e2c3,36/66
ca9df4c249d6459bbf8ab734350fcdea,28/66
38965404c5e83fea02ed97ba0b309a9d,30/67
17c2de8fbec8c963cabfa721ea1acd23,28/64
ef51854c10f700a4343f8a2adf9fc461,19/63
6cccc5e3edb49c5bf641afb21937d4cd,31/66
5bbba1ef3374fe5aeac84679badeba27,30/67
ed329d7765dfe53b541e4be27662e7a1,28/67
0562ebcce845901715563ed9897fd6f5,28/62
bf9501ef671ae3504004fa5df51939bf,15/45
b45d891e8c52c5b35dfa47fdaeaa8874,29/67
3fcd464e051d4ac1c684ea72cba80eb7,30/67
92442fb386a51bdf2ed3a97cb04e1319,33/67
7b30ea0d8314913f00538ba4dd497196,6/52
15de6fded92258ef9b348e6a922f2089,34/66
c34aa5a5a863307008ddc191ecfd4f1c,29/66
3dc4bf7967da031b92792fe5d0509cfe,19/66
dd48479c693d6a713a705d7e95cf5b3d,10/66
5a6fc397e38bf07baa587c9ca918cc12,26/67
3aac781f5487a69d6886c7978a6debe4,31/66
9f263a516957b23d9186abba37bbfa38,40/66
4a572ef1ecd665f7ea04257540ac841b,29/66
61f3dcc10c8da7e592465c07c380a8de,29/66
f920438f3c4d0dadd0b4089e81b9c6a5,40/66
e0d5e9dc302d986fe57c3c8f7b4041f4,10/65
93658b52b0f538c4f3e17fdf3860778c,42/65
5da51a6c88d65332e9b0787debc0e157,30/63
1ea6265fb573681804084f553611f739,24/66
43dc22d5c7467057356c1e219b27af38,29/66
e4d77d5ed6a462ff361e391679e19856,30/66
3c3d643978863809b510b7e1d47c21d4,26/66
69aff03bc644ef39525ba8e540b92ddd,22/59
cc6b5f5b4c6355bb572f0fc6d909dc8b,31/65
39ceff50ca05b76456517edf548ff774,27/67
67d48d4d80850785287c9080e21bec1d,32/66
8546a521cdd043fa2eec42717f36963d,31/65
7aaebed7e03dee1016aa59e3eb063124,28/65
20f7615dde93bb22909fe9e66162b211,28/67
886e45164c3189ba03362bcfa706cdd5,28/67
a7b640592d2b9aba0ab868fa170f07ff,34/66
c52bb233d0418facbce02880abd5fd48,28/66
0f50e49fe7a2500d108698428fd14bf8,23/61
363379c24ee899ac2f19b9c9c4a44e0c,27/66
e75a271820784ead3d35cb210b3c6e99,25/49
f977810f57564f2d9343044d887ff2c0,31/66
c08f926765cd22c70f20c631be854b58,29/66
444a37ab9c9f355d683cc5fc4cd8aee4,23/66
b3b063a3ee57a1f643012ec2840fd259,28/66
c80aaf5289687b0f0a4c3c6fe7461a18,33/66
19377db55ccc02c3dac1e04844727ba8,34/67
9244dfe5b68808feff9753773a7b6d3c,9/57
a35147947c8bdd00c5d26e1cb6d4abb3,33/66
87ef8e2ba8641fb79ccd8aeb00b15b91,18/55
03b928054c176b357d9d8ca7261aa6c5,39/66
ba275abf934abe72c62b5ada23e36b44,30/66
430e19b2ebbcc4bfbe3e7e6b24b5acf7,6/67
6b119766eca2a4d6f021fb1a09399ddc,24/56
f21243fdc8b67cc795a9605d67bf99c3,30/67
351c63bcd5159aa338cc979d0327d4af,27/66
839a599851386addcafa4a0fc494539a,32/67
4e4c09311d600ab4cf63af8920f48af1,29/66
99810a605b012d98497f967af959b1d2,28/66
51a0b081b70d7f32b0344acc67bd5bb8,41/66
c06ffc61d69f3ab879a80a9979f11abe,28/66
7131a9ffa67f52f2998bd1483e1b6c9b,33/66
dbf4a97864ff949a934864eb7293a83e,30/67
e6c9c222dd130eebcb49616c3c64d2d0,32/67
b130d6b0d4bbede198439530ec4b5f2e,31/67
89aa1d5dcf947f4bca7dae8bdd90f4a2,13/66
06173e38a4020151e686134031587186,26/66
fb9eec47238d79f9599a922227e7e980,24/66
f2ece348401f5c6bb8d1da8a62c5bc5c,29/66
0b845d035af9bc22342bae24d2279f58,19/67
5c4b6116ecb34a5725f25b397df8a0d0,30/67
e169ab2699c20869ea56b299fd3be93e,32/67
a91de645449411cfff3ea9f95675ba64,27/66
d3a481f2dba76ba48917f50541615cfc,32/66
127d7f0c9bb0914e1ce816fd0f7b9773,41/66
e8fff7a828ff378176613355c106eda8,30/65
4984dca2a95f9fafc038495f72166610,28/67
5e55ea6b6c05776529a6f9a8b622335b,30/67
48aaccaf9bd49629c30ceebbe45d4545,27/63
8c85fd6ffa92128eef132ae875e23c8a,26/64
c40a9ca42ff4fc89265047c7df8575c6,30/65
146ee00de8590d40a17426d48341d640,22/66
4ed1f65a5921e41ab34e895a3880fda6,30/67
663d60cdedf1b8fce43e7ced0415c35f,30/66
b6738b8d9f502dff7b3b9f8f6c0c8d61,23/64
5720c06ecbffcf905fe0f49f918a6d5b,20/65
37e934668ab786a779f309c769d726e7,30/66
65b1d85e25f91db65d7040765a104dfd,32/66
eb8909e31512b7a1c95114fd34df2cbd,27/65
bf29260d1289ccb79d97b1a0310e8747,29/65
427ecf4658f3bc75b56163e1bb802856,33/65
ddf9e9cdff1c71ee55a01b581aa2c7d8,33/66
908f78ecdb3ed3083ba1d87fe71474cb,10/66
34e529d84f34ec81df58213741e53a5b,32/65
3cd77ddc20746eeb9c7b4b7256596d0b,29/67
a0bad28b7ae00de03a281d6fba8e1ee1,30/67
fe48363e99ef7430443a60e23f6c495d,27/56
fbf033acee131ca509f7bd027ca8220d,28/67
7bbf6d1c1b52c564e69f2f4a78e77cf0,32/66
e2437005ae693e097682e679cb96ea57,28/67
a85829fa30fa3b70443b1df68952bb50,15/48
b670dbbb38e3833e5d63df709f1a2189,30/67
439b6e711e5c085f6615c3cd980e1b82,45/67
00a3538d19f2112abc9b160f33fd5b39,28/65
a79f7cd107a173abe9cefb4bc736518a,30/66
c60801a0e68de8f6113dfb93a94a325d,28/67
e42684f2d0b04168f50de6e56539bba4,30/66
6159b44b7f7911b202e94b30ae6bb5cb,31/67
3dcea43b17ff91709627b87a8729b56b,28/63
07a2cb708191f483166718e9f373acb4,31/66
2852b566c2b2605a2cd7484ab7ca84e9,44/67
7454ea2b0e71a3ab94f4543e724040e3,32/66
8359dbc8db233c75a6ffad997a5fc7a0,24/55
627be12930aa107767c8b92b0507fed9,32/66
37b7432dc44525956edb040f3198bdc0,28/66
2200b090c2ff32a17912f0473cf82f80,33/66
ef0300eea743bcf803d6f4a18fa7547c,28/66
d422876b049ed0093247c7e5df23d13f,28/67
c18f645c11893efdc52120bd95f78f88,30/66
d2137614eece65991034643a9f958764,25/61
5aee09415f607d0723451d86d322982b,29/67
60c0e2d9f14a67484b91d176bc2daa6d,38/65
f032c6fee639fde0ec79646a5d8e7773,29/65
23366024b8f3726408da250898d650d0,24/65
f4d20b923d801125aabfbe14abb711e2,45/67
9a25db3e9043794114fbd7a0fddb8e71,29/67
79b7d7b233a7eaa207d6dd21c81a2580,15/66
f585c37d2700756b9f68ee9756ac9126,30/67
04e2a984cc5c4a9d375817db9130a3d4,45/67
3b385a5ab90f5e91741a31b4ef119f9d,32/67
388a004b9ad3b644334f7dc9b20bb1a9,45/67
5da0e5e3a8379c810f18f00dbdcd8c52,30/67
7a2f3c464223f7e502d1f8f4f537502b,21/65
8b73cf863e2bf5d89bb023259f00fd5d,30/65
51f62919acd472f20071b89dfa1f756e,31/66
d83ed3afc7ef6399722653c3ac24a8c1,9/66
00ac703845c90a23db73ab1ac99dbe2e,31/66
1281eadef52b330baeb6f1b216d25cc5,26/61
d287ae9e1a580840f589da5556005b63,34/66
e15e22c4d2da69296938148ce7435fde,21/64
f3f7866067b26763ea0aad9dbec4c055,7/66
221676bd5caea6e34bb15339851f8bfc,33/66
8576634ff96040301d6fb76282ab22bb,29/66
270086fe5638f293701f6416562832fe,8/67
12b3508e1ac46366b5c95262ba3a49cd,33/67
add48fc0a4d5ec73865580e18fa90e5a,17/52
e53523a117ab0f1bac2595c58700fa2f,34/66
7332b5b976a556e510874c04ebf6f211,33/66
bd2aa190973531ba5cbb056dc7f757bc,31/66
c75c96d595422a529f3f098d9aff5fa5,28/66
a68284f571bbe57cc63dc6d38047146f,31/66
f0a796dbc1795d97397015af034ad373,30/66
3f9c32d312a42d64c2df666b85903db5,23/65
0a00247922307a6cb60ca3e1b289d071,29/66
3e74fcda785b403c095ffd3d422c3093,27/67
504f50c66c70d2b9c19d19f31b69af46,30/66
561b04bb86eaddb7adce0599cc759ef4,32/66
909358fcbf1a970a0ae3269e83c19612,33/65
cceb04c4e068e818cf0c03c51101ed21,14/49
73894cdc6a82dc6ed8514ea6fbd1c239,26/66
ef3494a1ce488690f8ae9470b5695741,31/66
07de759d5970ace9deac80bd554a7364,33/67
b622776c11f1b5f9fc5e9585cdb7389e,24/62
7b4990c9f89d297cdd2734ce84e71fd8,10/67
5cdb3638a1e872ea5c0ef485c54b030c,30/66
15a08caf9fb588f108499ecbe0e88cb2,8/67
90dab61037e2d057865c90d7ea845695,32/67
36b5502c481254a5c18c6d17b0141185,30/66
06240d270a7113fc179ad583da4b33be,29/67
a063aa1c295b7f9482a77d716c84c75f,31/67
1841213c3a5b5642e19a497229504ac1,30/66
71198a8e8b846d61c37954eb5577420f,27/65
a107fd24d66e117b53198ed1e0f386a0,30/66
c465311859fb694c824bbb5e92e09a64,31/66
a2fc91668ee16a1d65e908ee8fa26937,27/60
6f6556d95dd48d25f375792b6e3fee2f,29/66
e4925361a6f5e5b057cf2ca2b92ff36a,22/66
4ab6b5942cd1ba6eb21b1f4b3c369c02,32/67
f383a34b60195c49d8162627248d237f,30/67
fa6a1f0c897fe7be36554e9c35279d40,29/66
8e7537af35b7312b02f85e2807de64b6,9/66
17000397a8a29e8c12a373f4a99c21d9,24/66
e2d44e7b0194c9f6194c91c4d8d38258,30/66
da13457858890140c37d35e2376d5207,30/66
4f95ec88f7c8528df4df23ccaa30e84f,32/65
d57627acacc0d7d9135ba4ab522edf84,11/66
e0f6430c22990df862c2cb32b5f7ae6b,30/66
6ad8f7358674f2e475d4bf182aaa95b3,31/66
b6d66b3c5133d6133254138846d32e2e,17/66
dc4a89e850aa4843317919065d1add1a,34/66
cd7c7e6b9e7409ab4f0e9cc4f1e5fc46,29/66
3a8eb722e4cfbe393f2eb425854c8fec,19/67
5e5db977ed9c7db64f34eca1a9297ca2,34/66
7cc64b3b4bb8fb274c274ec64355fb43,25/66
19014651b8977bad53cca49bcdbf415a,30/66
a4fc82dcb8f3fc4b120120e1fca441c3,20/66
a561a83f958ea91d31bbb8b058623f31,33/65
61eaf79fd49c130f75925c2775bc1310,8/65
d0dbfe0585f810b720d276699ac99bd1,26/65
3eb5a0638decedbdf449fd90750eb493,32/67
cc083d7fa2121a181c44c107bea9acdc,31/67
a299a470dc350ea4b3363de0a10ddf45,8/66
a380a518f7854094cf1988bd49621eb5,32/66
d48dbe05795589b94f623f2f57bd40e1,33/66
aa78ad50857c812307822c3da51f7d49,23/62
f4214f9a77a874dbb382225371b0f0b7,30/66
d48c7f4b40291f87829db72715316015,30/65
dec1a836b7873be11a4ecbd0d1617adb,32/65
c011314e1a4cf990cb5b94bdcb54706a,32/66
d53314d5f2a56fc831b12acde3bb56e2,27/66
b7e264779ec3c3c1298508440459d218,28/67
c37818834d44f72acd45c92e0adc0a2b,40/65
832bf289e0bc096f1fa6c7820e4db2bc,32/67
0d5cac778ec1f9a1471e0d78742d3fe9,22/62
151128edd2738977c7199b503aeda346,23/58
0e65c6e28f97e056518f77b1cf2a3bd5,31/67
aaa02a934a0b31df8904a04cff3ed85a,31/65
468b52fe857d38968be6c98ae107440a,30/66
